
21/10/2023 19:42:21 | 201.108.163.140 |   Usuario anonimo    |        getBy         | Usuarios             | SELECT * FROM usuarios WHERE usuario='Administrador'
21/10/2023 19:42:25 | 201.108.163.140 |    Administrador     |       updateBy       | Usuarios             | UPDATE usuarios SET ua_time = 1697935341, ua_ip = '201.108.163.140', ua_host = '192.168.1.200' WHERE usuario = 'Administrador';
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:26 | 201.108.163.140 |    Administrador     |        getBy         | Usuarios_empresas    | SELECT * FROM usuarios_empresas WHERE id_usuario='1'
21/10/2023 19:42:35 | 201.108.163.140 |    Administrador     |       execSQL        | Tpv_cajas            | SELECT * FROM tpv_cajas WHERE id_usuario = '1' AND empresa_SDK = 'cmPuntoVentas'
21/10/2023 19:42:35 | 201.108.163.140 |    Administrador     |       execSQL        | Tpv_cajas            | Filas: 2
21/10/2023 19:42:35 | 201.108.163.140 |    Administrador     |       execSQL        | Tpv_cajas_cortes     | SELECT * FROM tpv_cajas_cortes WHERE id_caja=1 AND estado='A'
21/10/2023 19:42:35 | 201.108.163.140 |    Administrador     |       execSQL        | Tpv_cajas_cortes     | Filas: 1
